Word,Vowel Ending,Number / ਵਚਨ,Grammar / ਵਯਾਕਰਣ,Gender / ਲਿੰਗ,Word Root,Type
ਕਮਾਵਣੇ,ਹੁਗੇ,Plural / ਬਹੁ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਕਮਾਵਣੇ,ਹੇ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਜਿਉ,ਜਿਉ,,As,,,Conjunction / ਯੋਜਕ
ਦੋਹਾਗਣਿ,ਿ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ
ਤਨਿ,ਮਨਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਸੀਗਾਰੁ,ਬਿਚਾਰੁ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਕਬੀਰ,ਮੁਕਤਾ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਜਹ,ਜਹ,,Place / ਥਾਂ ਵਾਚਕ,,ਮੁਕਤਾ Ending,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ
ਜਹ,ਜਹ,,Place / ਥਾਂ ਵਾਚਕ,,ਮੁਕਤਾ Ending,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ
ਫਿਰਿਓ,ਸਰਿਓ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,NA,Verb / ਕਿਰਿਆ
ਕਉਤਕ,ਮੁਕਤਾ,Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਠਾਇ,ਰਜਾਇ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ
ਭਾਂਇ,ਹਿਆਇ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਉ Ending,Noun / ਨਾਂਵ
ਭਾਂਇ,ਮੁਕਤਾ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਸਨੇਹੀ,ੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਸਨੇਹੀ,ੀ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਸਨੇਹੀ,ਹਸਤੀ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ
ਸਨੇਹੀ,ੀ,Singular / ਇਕ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਸਿਖਾ,ਇਦਾ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਯਾਦਿ,ਯਾਦਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ
ਯਾਦਿ,ਿ,Singular / ਇਕ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਪਾਇਆ,ਇਆ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,NA,Verb / ਕਿਰਿਆ
ਜਾਈ,ਜਾਈ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਰਹਾਉ,ਗਾਉ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ
ਧੋਤੀ,ੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਬਿਹਾਰੀ Ending,Noun / ਨਾਂਵ
ਨਿਧਾਨ,ਮੁਕਤਾ,Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਮੀਤ,ਮੁਕਤਾ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਪਤੇ,ੇ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਪਤੇ,ੇ,Singular / ਇਕ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਗਤੇ,ੇ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
ਰਾਮੁ,ਪਾਰਬ੍ਰਹਮੁ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ
